"Emissor","Tipo","Prazo","Rentabilidade","Modalidade"
"Banco ABC Brasil","CDI",2019-08-28,0.97,"CDB"
"Lecca","CDI",2019-05-29,0.98,"CDB"
"Banco ABC Brasil","CDI",2020-02-28,0.985,"CDB"
"Banco Caixa Geral","CDI",2019-08-28,0.985,"CDB"
"Banco ABC Brasil","CDI",2021-02-22,0.99,"CDB"
"Banco Indusval","CDI",2020-02-28,0.99,"CDB"
"Banco ABC Brasil","CDI",2022-02-14,1,"CDB"
"Banco Pan","CDI",2019-08-28,1,"CDB"
"Lecca","CDI",2019-08-28,1,"CDB"
"Banco Indusval","CDI",2024-02-02,1.02,"CDB"
"Banco BMG","CDI",2020-02-28,1.02,"CDB"
"Banco Caixa Geral","CDI",2020-02-28,1.025,"CDB"
"Banco Pan","CDI",2020-02-28,1.03,"CDB"
"Lecca","CDI",2020-02-28,1.03,"CDB"
"Banco Renner","CDI",2020-02-28,1.03,"CDB"
"Banco Tricury","CDI",2020-02-28,1.03,"CDB"
"Agibank","CDI",2019-08-28,1.03,"CDB"
"Banco Paulista","CDI",2019-08-28,1.03,"CDB"
"Banco Caixa Geral","CDI",2021-02-22,1.055,"CDB"
"Haitong","CDI",2020-02-28,1.055,"CDB"
"Lecca","CDI",2021-02-22,1.06,"CDB"
"Banco Tricury","CDI",2021-02-22,1.06,"CDB"
"Banco BMG","CDI",2021-02-22,1.06,"CDB"
"Banco Caixa Geral","CDI",2022-02-15,1.065,"CDB"
"Banco Barigui","CDI",2022-02-28,1.07,"CDB"
"Haitong","CDI",2021-02-22,1.07,"CDB"
"Banco Paulista","CDI",2020-02-28,1.07,"CDB"
"Banco Tricury","CDI",2022-02-14,1.08,"CDB"
"Banco BMG","CDI",2022-02-14,1.08,"CDB"
"Banco Renner","CDI",2021-02-22,1.08,"CDB"
"Agibank","CDI",2020-02-28,1.08,"CDB"
"Banco Sofisa","CDI",2020-02-28,1.08,"CDB"
"Banco Maxima","CDI",2019-05-30,1.08,"CDB"
"Banco Barigui","CDI",2023-02-28,1.09,"CDB"
"Banco Paulista","CDI",2021-02-22,1.09,"CDB"
"Avista CFI","CDI",2020-02-28,1.09,"CDB"
"Banco Sofisa","CDI",2020-08-21,1.095,"CDB"
"Banco BMG","CDI",2023-02-07,1.1,"CDB"
"Lecca","CDI",2022-02-14,1.1,"CDB"
"Banco Sofisa","CDI",2021-02-22,1.1,"CDB"
"Banco Pan","CDI",2021-02-22,1.1,"CDB"
"Banco Luso Brasileiro","CDI",2021-02-22,1.1,"CDB"
"Banco Sofisa","CDI",2022-02-14,1.11,"CDB"
"Banco Renner","CDI",2022-02-14,1.11,"CDB"
"Banco Mercantil Do Brasil","CDI",2022-02-14,1.11,"CDB"
"Banco Paulista","CDI",2022-02-14,1.11,"CDB"
"Banco Pine","CDI",2021-02-22,1.11,"CDB"
"Omni Banco","CDI",2020-02-28,1.11,"CDB"
"Banco Arbi","CDI",2020-02-28,1.11,"CDB"
"Banco BMG","CDI",2025-01-27,1.12,"CDB"
"Banco Mercantil Do Brasil","CDI",2023-02-07,1.12,"CDB"
"Banco Paulista","CDI",2023-02-07,1.12,"CDB"
"Banco Pan","CDI",2022-02-14,1.12,"CDB"
"Banco Luso Brasileiro","CDI",2022-02-14,1.12,"CDB"
"Agibank","CDI",2021-02-23,1.12,"CDB"
"Banco Arbi","CDI",2021-02-22,1.12,"CDB"
"Sorocred","CDI",2020-02-28,1.12,"CDB"
"Banco Mercantil Do Brasil","CDI",2024-02-02,1.125,"CDB"
"Banco Arbi","CDI",2022-02-14,1.13,"CDB"
"Banco Fibra","CDI",2021-03-01,1.13,"CDB"
"Omni Banco","CDI",2021-02-23,1.13,"CDB"
"Banco Original","CDI",2021-02-23,1.13,"CDB"
"Banco Maxima","CDI",2019-08-29,1.13,"CDB"
"Banco Pine","CDI",2024-02-02,1.14,"CDB"
"Banco Luso Brasileiro","CDI",2023-02-07,1.14,"CDB"
"Banco Pine","CDI",2022-02-14,1.14,"CDB"
"Senff CFI","CDI",2021-02-23,1.14,"CDB"
"Sorocred","CDI",2021-02-22,1.14,"CDB"
"Banco Maxima","CDI",2020-02-29,1.14,"CDB"
"Banco Pine","CDI",2025-01-27,1.145,"CDB"
"Banco Luso Brasileiro","CDI",2024-02-02,1.15,"CDB"
"Banco Renner","CDI",2023-02-07,1.15,"CDB"
"Banco Fibra","CDI",2022-03-02,1.15,"CDB"
"Agibank","CDI",2022-02-14,1.15,"CDB"
"Avista CFI","CDI",2021-02-22,1.15,"CDB"
"Estrela Mineira CFI","CDI",2021-02-22,1.15,"CDB"
"Banco Fibra","CDI",2023-02-28,1.155,"CDB"
"Banco Fibra","CDI",2024-02-28,1.16,"CDB"
"Agibank","CDI",2023-02-07,1.16,"CDB"
"Omni Banco","CDI",2022-02-15,1.16,"CDB"
"Banco Renner","CDI",2024-02-02,1.17,"CDB"
"Avista CFI","CDI",2022-02-14,1.17,"CDB"
"Senff CFI","CDI",2023-02-07,1.18,"CDB"
"Estrela Mineira CFI","CDI",2022-02-14,1.18,"CDB"
"Senff CFI","CDI",2024-02-02,1.19,"CDB"
"Avista CFI","CDI",2023-02-07,1.19,"CDB"
"Banco Maxima","CDI",2021-02-23,1.19,"CDB"
"Avista CFI","CDI",2024-02-02,1.2,"CDB"
"Banco Maxima","CDI",2022-02-15,1.2,"CDB"
"Banco Maxima","CDI",2023-02-08,1.21,"CDB"
"Banco Maxima","CDI",2024-02-03,1.26,"CDB"
"Banco Maxima","CDI",2025-01-27,1.27,"CDB"
"Banco Maxima","CDI",2026-01-23,1.28,"CDB"
"Banco Barigui","IPCA",2022-03-01,0.039,"CDB"
"Banco ABC Brasil","CDI",2019-05-29,0.85,"LCI"
