"Emissor","Tipo","Prazo","Rentabilidade","Modalidade"
"Banco ABC Brasil","CDI",2019-08-27,0.97,"CDB"
"Lecca","CDI",2019-05-28,0.98,"CDB"
"Banco ABC Brasil","CDI",2020-02-27,0.985,"CDB"
"Banco Caixa Geral","CDI",2019-08-27,0.985,"CDB"
"Banco ABC Brasil","CDI",2021-02-19,0.99,"CDB"
"Banco Indusval","CDI",2020-02-27,0.99,"CDB"
"Banco ABC Brasil","CDI",2022-02-11,1,"CDB"
"Banco Pan","CDI",2019-08-27,1,"CDB"
"Lecca","CDI",2019-08-27,1,"CDB"
"Banco Indusval","CDI",2024-02-01,1.02,"CDB"
"Banco BMG","CDI",2020-02-27,1.02,"CDB"
"Banco Caixa Geral","CDI",2020-02-27,1.025,"CDB"
"Banco Pan","CDI",2020-02-27,1.03,"CDB"
"Lecca","CDI",2020-02-27,1.03,"CDB"
"Banco Renner","CDI",2020-02-27,1.03,"CDB"
"Banco Tricury","CDI",2020-02-27,1.03,"CDB"
"Agibank","CDI",2019-08-27,1.03,"CDB"
"Banco Paulista","CDI",2019-08-27,1.03,"CDB"
"Banco Caixa Geral","CDI",2021-02-19,1.055,"CDB"
"Haitong","CDI",2020-02-27,1.055,"CDB"
"Lecca","CDI",2021-02-19,1.06,"CDB"
"Banco Tricury","CDI",2021-02-19,1.06,"CDB"
"Banco BMG","CDI",2021-02-19,1.06,"CDB"
"Banco Caixa Geral","CDI",2022-02-11,1.065,"CDB"
"Banco Barigui","CDI",2022-02-28,1.07,"CDB"
"Haitong","CDI",2021-02-19,1.07,"CDB"
"Banco Paulista","CDI",2020-02-27,1.07,"CDB"
"Banco Tricury","CDI",2022-02-11,1.08,"CDB"
"Banco BMG","CDI",2022-02-11,1.08,"CDB"
"Banco Renner","CDI",2021-02-19,1.08,"CDB"
"Agibank","CDI",2020-02-27,1.08,"CDB"
"Banco Sofisa","CDI",2020-02-27,1.08,"CDB"
"Banco Maxima","CDI",2019-05-28,1.08,"CDB"
"Banco Barigui","CDI",2023-02-27,1.09,"CDB"
"Banco Paulista","CDI",2021-02-19,1.09,"CDB"
"Avista CFI","CDI",2020-02-27,1.09,"CDB"
"Banco Sofisa","CDI",2020-08-20,1.095,"CDB"
"Banco BMG","CDI",2023-02-06,1.1,"CDB"
"Lecca","CDI",2022-02-11,1.1,"CDB"
"Banco Sofisa","CDI",2021-02-19,1.1,"CDB"
"Banco Pan","CDI",2021-02-19,1.1,"CDB"
"Banco Luso Brasileiro","CDI",2021-02-19,1.1,"CDB"
"Banco Sofisa","CDI",2022-02-11,1.11,"CDB"
"Banco Renner","CDI",2022-02-11,1.11,"CDB"
"Banco Mercantil Do Brasil","CDI",2022-02-11,1.11,"CDB"
"Banco Paulista","CDI",2022-02-11,1.11,"CDB"
"Banco Pine","CDI",2021-02-19,1.11,"CDB"
"Omni Banco","CDI",2020-02-27,1.11,"CDB"
"Banco Arbi","CDI",2020-02-27,1.11,"CDB"
"Banco BMG","CDI",2025-01-27,1.12,"CDB"
"Banco Mercantil Do Brasil","CDI",2023-02-06,1.12,"CDB"
"Banco Paulista","CDI",2023-02-06,1.12,"CDB"
"Banco Pan","CDI",2022-02-11,1.12,"CDB"
"Banco Luso Brasileiro","CDI",2022-02-11,1.12,"CDB"
"Agibank","CDI",2021-02-19,1.12,"CDB"
"Banco Arbi","CDI",2021-02-19,1.12,"CDB"
"Sorocred","CDI",2020-02-27,1.12,"CDB"
"Banco Mercantil Do Brasil","CDI",2024-02-01,1.125,"CDB"
"Banco Arbi","CDI",2022-02-11,1.13,"CDB"
"Banco Fibra","CDI",2021-03-01,1.13,"CDB"
"Omni Banco","CDI",2021-02-19,1.13,"CDB"
"Banco Original","CDI",2021-02-19,1.13,"CDB"
"Caruana","CDI",2021-02-19,1.13,"CDB"
"Banco Maxima","CDI",2019-08-27,1.13,"CDB"
"Banco Pine","CDI",2024-02-01,1.14,"CDB"
"Banco Luso Brasileiro","CDI",2023-02-06,1.14,"CDB"
"Caruana","CDI",2022-02-28,1.14,"CDB"
"Banco Pine","CDI",2022-02-11,1.14,"CDB"
"Senff CFI","CDI",2021-02-19,1.14,"CDB"
"Sorocred","CDI",2021-02-19,1.14,"CDB"
"Banco Maxima","CDI",2020-02-27,1.14,"CDB"
"Banco Pine","CDI",2025-01-27,1.145,"CDB"
"Banco Luso Brasileiro","CDI",2024-02-01,1.15,"CDB"
"Banco Renner","CDI",2023-02-06,1.15,"CDB"
"Banco Fibra","CDI",2022-03-02,1.15,"CDB"
